Tipo_Nota,Formato,Chave_NFSe,Numero_NFSe,Serie_RPS,Data_Emissao,Data_Competencia,Municipio_Prestacao,cTribNac,xDescServ,cNBS_DPS,Cod_Servico_Mun,Desc_Servico,Cod_Item_Lei116,Cod_NBS,ISS_Retido,BC_ISS,Aliq_ISS,Valor_ISS,pAliq_ISS,tpRetISSQN,BC_CSRF,Valor_PIS,Valor_COFINS,Valor_CSLL,BC_IRRF,Valor_IRRF,BC_INSS,Valor_INSS,pTotTribSN,IBS_vBC,IBS_pIBSUF,IBS_pIBSMun,CBS_pCBS,Valor_Bruto,Valor_Liquido,Discriminacao,CNPJ_Prestador,IM_Prestador,Nome_Prestador,NomeFantasia_Prestador,UF_Prestador,Mun_Prestador,Email_Prestador,Simples_Nacional,CNPJ_Tomador,IM_Tomador,Nome_Tomador,Mun_Tomador,UF_Tomador,Email_Tomador,Arquivo_Origem
NFS-e,CompNFe,43168082229780984000152000000000052826034790031624,528,900,2026-03-03T02:14:14,2026-03-03,SANTA CRUZ DO SUL,,,,010401,"Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres",01.04,115021000,0,964.00,0,0,,,964.00,0,0,0,964.00,0,964.00,0,,,,,,964.00,964.00,"30 2 - Licença de uso da plataforma meuResíduo (Gerador). 450,00 1 7 - Licença de uso da plataforma meuResíduo (BI). 399,00 1 13 - Licença de uso da plataforma meuResíduo (CNPJ Adicional). 115,00     ",29780984000152,,MEURESIDUO SOLUCOES TECNOLOGICAS LTDA,,,SANTA CRUZ DO SUL,,1,01082569000106,141372,H P TRANSPORTES COLETIVOS LTDA,GOIANIA,GO,,0000000000000000000052820260302 - MEURESIDUO SOLUCOES TECNOLOGICAS.xml
NFS-e,CompNFe,31062002230342266000183000000003512026038751241496,35120,1001,2026-03-05T23:17:48,2026-03-05,BELO HORIZONTE,,,,010501,Licenciamento ou cessão de direito de uso de programas de computação,01.05,111032200,0,690.00,0,0,,,690.00,0,0,0,690.00,0,690.00,0,,672.75,0.10,0.00,0.90,690.00,690.00,1.05 - LICENCIAMENTO OU CESSAO DE DIREITO DE USO DE PROGRAMAS DE COMPUTACAO Cobranca mensal de uso de plataforma - Onfly REFERENTE A MARCO/26 REFERENTE A MARCO/26,30342266000183,,ONFLY TECNOLOGIA LTDA,,,BELO HORIZONTE,,0,01082569000106,141372,H P TRANSPORTES COLETIVOS LTDA,GOIANIA,GO,,0000000000000000003512020260305 - ONFLY TECNOLOGIA LTDA.xml
NFS-e,CompNFe,31702062205872814001373000000036399426029519892264,363994,004,2026-02-23T17:17:02,2026-02-21,UBERLANDIA,,,,010501,Licenciamento ou cessão de direito de uso de programas de computação,01.05,111032100,0,35289.61,0,0,,,35289.61,0,0,0,35289.61,0,35289.61,0,,31319.53,0.10,0.00,0.90,35289.61,35289.61,"SERVIÇOS CONTRATADOS OFFICE 365 - R$ 35.289,61",05872814001373,,VOGEL SOLUCOES EM TELECOMUNICACOES E INFORMATICA S.A.,,,UBERLANDIA,,0,01082569000106,141372,H P TRANSPORTES COLETIVOS LTDA,GOIANIA,GO,,0000000000000000036399420260223 - VOGEL SOLUCOES EM TELECOMUNICACO.xml
NFS-e,NFSe Nacional,52025022238186445000180000000000000226022333179333,2,900,2026-02-23T15:56:21-03:00,2026-02-23,Goiânia,170202,PRESTAÇÃO DE SERVIÇOS REF FEVEREIRO 2026 CONFORME CONTRATO,118064000,,"Expediente, secretaria em geral, apoio e infra-estrutura administrativa e congêneres.",,Serviços combinados de escritório e apoio administrativo,1,,,,,1,34538.34,,,,,,,,,,,,,34538.34,34538.34,PRESTAÇÃO DE SERVIÇOS REF FEVEREIRO 2026 CONFORME CONTRATO,38186445000180,,MJOTA GESTAO DE PERFORMANCE VEICULAR LTDA,,GO,Aruanã,CONT.INNOVARE@GMAIL.COM,3,01082569000106,,HP MOBILIDADE LTDA.,Goiânia,,,000000000000226022333179333 - MJOTA GESTAO DE PERFORMANCE VEIC.xml
NFS-e,NFSe Nacional,52087071202066074000156000000000000326021770651010,3,00001,2026-02-09T00:00:00-03:00,2026-02-09,GOIÂNIA,170101,"Honorarios pelo servico de atualizacao do calculo para o Processo no 5610529-50.2021.8.09.0011, Promovente: AILTON DE OLIVEIRA X Promovido:HP Transportes Coletivos Ltda.",114013900,,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista.",,1.1401.39.00-Serviços de assessoria empresarial não classificados em subposições anteriores,2,450.00,2.01,9.04,2.01,2,450.00,,,,,,,,,,,,,450.00,440.96,"Honorarios pelo servico de atualizacao do calculo para o Processo no 5610529-50.2021.8.09.0011, Promovente: AILTON DE OLIVEIRA X Promovido:HP Transportes Coletivos Ltda.",02066074000156,576972,LEXPLAN ASSESSORIA FINANCEIRA PLANEJAMENTO E ADMINISTRACAO LTDA,LEXPLAN ASSESSORIAS,GO,GOIÂNIA,afopericias10@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA.,GOIÂNIA,,gcon@gestaosian.com.br,000000000000326021770651010 - LEXPLAN ASSESSORIA FINANCEIRA PL.xml
NFS-e,NFSe Nacional,52087071253611136000102000000000000326021771623197,3,00001,2026-02-20T00:00:00-03:00,2026-02-20,GOIÂNIA,170201,"Prestacao de servicos conforme contrato - 1 x 10.874,85 = 10.874,85",118065300,,"Datilografia, digitação, estenografia e congêneres.",,1.1806.53.00-Serviços de preparação de documentos,2,10874.85,2.01,218.58,2.01,2,10874.85,,,,,,,,,,,,,10874.85,10656.27,"Prestacao de servicos conforme contrato - 1 x 10.874,85 = 10.874,85",53611136000102,7522533,53. 611. 136 MOHAMED HALLY ALVES DO NASCIMENTO,,GO,GOIÂNIA,valuegyn@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA.,GOIÂNIA,,,000000000000326021771623197 - 53. 611. 136 MOHAMED HALLY ALVES.xml
NFS-e,NFSe Nacional,52087071250791445000105000000000000526021771575245,5,70002,2026-02-20T08:14:00-03:00,2026-02-20,GOIÂNIA,170301,"Fevereiro - Conforme Lei 12.741/2012, o percentual total de impostos incidentes neste servico prestado e de aproximadamente 6%",114012900,,"Planejamento, coordenação, programação ou organização técnica.",,1.1401.29.00-Serviços de gestão não classificados em subposições anteriores,2,13465.21,2.00,269.30,2.00,2,13465.21,,,,,,,,,,,,,13465.21,13195.91,"Fevereiro - Conforme Lei 12.741/2012, o percentual total de impostos incidentes neste servico prestado e de aproximadamente 6%",50791445000105,6195784,DCN CONSULTORIA LTDA,DC CONSULTORIA,GO,GOIÂNIA,diel.carlos@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000000526021771575245 - DCN CONSULTORIA LTDA.xml
NFS-e,NFSe Nacional,52087071238538341000198000000000000526021771622929,5,00001,2026-02-20T00:00:00-03:00,2026-02-20,GOIÂNIA,170301,"Prestacao de servicos conforme contrato - 1 x 27.385,97 = 27.385,97",114012900,,"Planejamento, coordenação, programação ou organização técnica.",,1.1401.29.00-Serviços de gestão não classificados em subposições anteriores,2,27385.97,2.01,550.46,2.01,2,27385.97,,,,,,,,,,,,,27385.97,26835.51,"Prestacao de servicos conforme contrato - 1 x 27.385,97 = 27.385,97",38538341000198,5179866,FACILITIES SERVICE SOLUTION LTDA,MARIELLA SCANDIUZZI ASSESSORIA E CONSULT,GO,GOIÂNIA,valuegyn@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA.,GOIÂNIA,,gcon@gestaosian.com.br,000000000000526021771622929 - FACILITIES SERVICE SOLUTION LTDA.xml
NFS-e,NFSe Nacional,52087071260503230000103000000000000526021771623356,5,00001,2026-02-20T00:00:00-03:00,2026-02-20,GOIÂNIA,170301,"Prestacao de servicos conforme contrato - 1 x 12.980,14 = 12.980,14",114012900,,"Planejamento, coordenação, programação ou organização técnica.",,1.1401.29.00-Serviços de gestão não classificados em subposições anteriores,2,12980.14,2.01,260.90,2.01,2,12980.14,,,,,,,,,,,,,12980.14,12719.24,"Prestacao de servicos conforme contrato - 1 x 12.980,14 = 12.980,14",60503230000103,7021501,VALDINEI A DA COSTA LTDA,VLD ASSESSORIA E SERVICOS,GO,GOIÂNIA,atascont@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA.,GOIÂNIA,,gcon@gestaosian.com.br,000000000000526021771623356 - VALDINEI A DA COSTA LTDA.xml
NFS-e,NFSe Nacional,52087071238088014000181000000000000526021771935631,5,70002,2026-02-24T12:20:36-03:00,2026-02-24,GOIÂNIA,170101,"PRESTAÇÃO DE SERVIÇOS CONFORME CONTRATO REFERENTE FEVEREIRO 2026  RETENÇÕES FEDERAIS: PIS/COFINS/CSLL (4,65%) R$ 3.429,00 IR (1,5%) R$ 1.106,13",114011100,,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista.",,1.1401.11.00-Serviços de consultoria em gestão estratégica,2,73742.00,5.00,3687.10,5.00,2,73742.00,,,,,,,,,,,,,73742.00,65519.77,"PRESTAÇÃO DE SERVIÇOS CONFORME CONTRATO REFERENTE FEVEREIRO 2026  RETENÇÕES FEDERAIS: PIS/COFINS/CSLL (4,65%) R$ 3.429,00 IR (1,5%) R$ 1.106,13",38088014000181,5151058,HS MOBILITY CONSULTING LTDA,HS MOBILITY,GO,GOIÂNIA,hsmobilityconsulting@gmail.com,1,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000000526021771935631 - HS MOBILITY CONSULTING LTDA.xml
